Size	Merge Sort	QUICK sORT 
100	0.000008	0.000006
200	0.000015	0.000013
300	0.000026	0.000021
400	0.000034	0.000029
500	0.000043	0.000037
600	0.000054	0.000046
700	0.000063	0.000054
800	0.000073	0.000063
900	0.000082	0.000073
1000	0.000124	0.000109
1100	0.000111	0.000099
1200	0.000120	0.000118
1300	0.000149	0.000128
1400	0.000189	0.000219
1500	0.000148	0.000132
1600	0.000156	0.000142
1700	0.000166	0.000150
1800	0.000177	0.000160
1900	0.000201	0.000173
2000	0.000199	0.000184
2100	0.000213	0.000188
2200	0.000224	0.000232
2300	0.000236	0.000301
2400	0.000465	0.000289
2500	0.000390	0.000312
2600	0.000320	0.000297
2700	0.000281	0.000283
2800	0.000294	0.000272
2900	0.000302	0.000289
3000	0.000403	0.000286
3100	0.000325	0.000386
3200	0.000452	0.000530
3300	0.000453	0.000384
3400	0.000362	0.000350
3500	0.000388	0.000340
3600	0.000381	0.000380
3700	0.000426	0.000382
3800	0.000455	0.000450
3900	0.000568	0.000408
4000	0.000473	0.000394
4100	0.000470	0.000405
4200	0.000476	0.000413
4300	0.000471	0.000441
4400	0.000484	0.000496
4500	0.000717	0.000717
4600	0.000627	0.000479
4700	0.000546	0.000607
4800	0.000532	0.000487
4900	0.000607	0.000655
5000	0.000843	0.000543
5100	0.000602	0.000555
5200	0.000600	0.000539
5300	0.000616	0.000573
5400	0.000631	0.000597
5500	0.000651	0.000634
5600	0.000662	0.000625
5700	0.000702	0.000674
5800	0.000713	0.000779
5900	0.000929	0.000783
6000	0.000683	0.000634
6100	0.000677	0.000636
6200	0.000693	0.000863
6300	0.001027	0.000746
6400	0.000760	0.000727
6500	0.000773	0.000721
6600	0.000789	0.000907
6700	0.001120	0.000838
6800	0.000819	0.000753
6900	0.000822	0.000783
7000	0.000842	0.000829
7100	0.000866	0.000809
7200	0.000859	0.000787
7300	0.000877	0.000812
7400	0.000902	0.001030
7500	0.001233	0.001136
7600	0.001124	0.000966
7700	0.001153	0.001005
7800	0.000925	0.000865
7900	0.000956	0.000928
8000	0.000964	0.000900
8100	0.001113	0.000938
8200	0.001229	0.001231
8300	0.001053	0.000940
8400	0.001028	0.000972
8500	0.001043	0.000987
8600	0.001057	0.001004
8700	0.001066	0.000981
8800	0.001079	0.001042
8900	0.001106	0.001074
9000	0.001120	0.001017
9100	0.001132	0.001076
9200	0.001128	0.001082
9300	0.001145	0.001103
9400	0.001165	0.001065
9500	0.001180	0.001134
9600	0.001202	0.001084
9700	0.001206	0.001108
9800	0.001240	0.001148
9900	0.001222	0.001161
10000	0.001371	0.001522
10100	0.001327	0.001188
10200	0.001260	0.001219
10300	0.001293	0.001565
10400	0.001365	0.001201
10500	0.001305	0.001883
10600	0.001346	0.001261
10700	0.001350	0.001347
10800	0.001467	0.001339
10900	0.001367	0.001255
11000	0.001398	0.001294
11100	0.001400	0.001293
11200	0.001421	0.001331
11300	0.001417	0.001376
11400	0.001459	0.001323
11500	0.001452	0.001361
11600	0.001460	0.001357
11700	0.001508	0.001397
11800	0.001488	0.001422
11900	0.001536	0.001445
12000	0.001542	0.001442
12100	0.001534	0.001450
12200	0.001545	0.001459
12300	0.001550	0.001462
12400	0.001684	0.001491
12500	0.001604	0.001478
12600	0.001884	0.001410
12700	0.001538	0.001445
12800	0.001862	0.001682
12900	0.001768	0.001585
13000	0.002190	0.001466
13100	0.001712	0.001543
13200	0.001690	0.001576
13300	0.001682	0.001637
13400	0.001937	0.001725
13500	0.001772	0.001526
13600	0.001649	0.001524
13700	0.001668	0.001855
13800	0.002698	0.001656
13900	0.001775	0.001646
14000	0.001777	0.001670
14100	0.001799	0.001708
14200	0.001835	0.001824
14300	0.001924	0.001662
14400	0.001736	0.001620
14500	0.001822	0.001712
14600	0.001779	0.001744
14700	0.002218	0.001745
14800	0.001862	0.001719
14900	0.001917	0.001730
15000	0.001932	0.002011
15100	0.002167	0.001910
15200	0.001870	0.001802
15300	0.001941	0.001761
15400	0.001971	0.002313
15500	0.002253	0.001805
15600	0.001990	0.001801
15700	0.001939	0.001880
15800	0.002014	0.001953
15900	0.002147	0.001830
16000	0.002027	0.001837
16100	0.001977	0.001911
16200	0.002148	0.002007
16300	0.002197	0.001909
16400	0.002016	0.001911
16500	0.002130	0.002125
16600	0.002036	0.002048
16700	0.002343	0.001917
16800	0.002080	0.001982
16900	0.002321	0.002028
17000	0.002121	0.002423
17100	0.002139	0.002124
17200	0.002182	0.002174
17300	0.002336	0.002179
17400	0.002502	0.002024
17500	0.002200	0.002280
17600	0.002615	0.002655
17700	0.002400	0.002365
17800	0.002346	0.002203
17900	0.002380	0.002149
18000	0.002280	0.002166
18100	0.002400	0.003091
18200	0.003186	0.002279
18300	0.002470	0.002343
18400	0.002595	0.002409
18500	0.002443	0.002239
18600	0.002407	0.002232
18700	0.002518	0.002440
18800	0.002522	0.002191
18900	0.002371	0.002240
19000	0.002401	0.002594
19100	0.002640	0.002462
19200	0.002407	0.002304
19300	0.002570	0.002416
19400	0.002692	0.002542
19500	0.002914	0.002570
19600	0.002707	0.003033
19700	0.002921	0.002458
19800	0.002627	0.002471
19900	0.002635	0.003129
20000	0.002674	0.002504
